timestamp,transaction_id,amount,recovery_probability,recommended_action,execution_status,message,recovered_amount,razorpay_order_id,payment_link_id
2026-09-02T11:25:01.540572,TX00003,23570.4,0.4729,SEND_REMINDER,REMINDER_SENT,Payment reminder sent to customer,0.0,,
2026-09-02T11:25:01.575419,TX00004,22264.36,0.0202,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:01.632820,TX00005,24808.55,0.1433,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:01.659912,TX00006,43080.06,0.0778,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:01.692178,TX00008,47008.6,0.1436,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:01.733216,TX00009,25299.39,0.1047,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:01.752725,TX00015,46267.35,0.0671,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:01.785397,TX00016,31655.85,0.1437,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:02.673100,TX00019,48717.53,0.43,SEND_PAYMENT_LINK,PAYMENT_LINK_CREATED,Razorpay Test Mode order created: order_TX3nNPR49Ssrtd,0.0,order_TX3nNPR49Ssrtd,
2026-09-02T11:25:02.697464,TX00020,3676.07,0.165,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:02.735999,TX00022,37440.16,0.189,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:02.781638,TX00023,40550.88,0.0769,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:02.812224,TX00024,20808.61,0.1042,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:02.848355,TX00027,29070.36,0.091,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:02.882118,TX00029,47447.47,0.0314,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:02.917574,TX00034,22788.23,0.1157,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:02.950357,TX00036,34347.89,0.2013,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:02.979836,TX00037,45528.61,0.1042,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.014202,TX00039,47686.05,0.0485,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.051988,TX00041,29308.09,0.0529,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.095870,TX00042,41722.84,0.0791,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.220675,TX00045,37080.12,0.5345,SEND_PAYMENT_LINK,PAYMENT_LINK_CREATED,Razorpay Test Mode order created: order_TX3nO1fdJIdnnI,0.0,order_TX3nO1fdJIdnnI,
2026-09-02T11:25:03.262145,TX00046,4926.44,0.1005,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.298880,TX00048,35191.48,0.1684,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.332880,TX00050,11693.57,0.0854,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.371452,TX00052,30892.46,0.0409,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.409017,TX00054,34595.85,0.0898,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.441055,TX00055,29919.47,0.3897,SEND_REMINDER,REMINDER_SENT,Payment reminder sent to customer,0.0,,
2026-09-02T11:25:03.479458,TX00056,25178.47,0.04,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.516713,TX00057,48814.11,0.125,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.551841,TX00059,18896.97,0.1029,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
2026-09-02T11:25:03.578213,TX00060,40043.66,0.0571,ESCALATE,ESCALATED,Case escalated to merchant,0.0,,
