transaction_id,customer_id,amount,payment_method,transaction_status,failure_reason,retry_count,previous_success_rate,customer_value,checkout_duration,days_overdue,revenue_at_risk,recovered
TX00001,CUST1127,31002.65,NetBanking,Success,Insufficient_Funds,0,0.25,Medium,204.9,25,0.0,1
TX00002,CUST1460,31727.02,UPI,Success,Authentication_Failed,2,0.49,Low,524.6,21,0.0,1
TX00003,CUST0861,23570.4,UPI,Overdue,Authentication_Failed,1,0.96,Medium,551.2,17,23570.4,1
TX00004,CUST1295,22264.36,UPI,Subscription_Failed,Insufficient_Funds,0,0.51,Low,569.3,4,22264.36,0
TX00005,CUST1131,24808.55,Wallet,Overdue,Bank_Decline,3,0.62,High,170.8,19,24808.55,0
TX00006,CUST1096,43080.06,UPI,Abandoned,None,2,0.48,High,548.4,11,43080.06,0
TX00007,CUST1045,23166.11,Card,Success,Bank_Decline,0,0.68,Low,444.8,5,0.0,1
TX00008,CUST0122,47008.6,UPI,Subscription_Failed,None,0,0.98,Low,101.0,1,47008.6,0
TX00009,CUST0467,25299.39,Wallet,Overdue,None,2,1.0,Low,370.1,3,25299.39,0
TX00010,CUST1239,47470.19,Card,Success,Bank_Decline,3,0.82,Low,25.5,15,0.0,1
TX00011,CUST0331,41675.03,UPI,Success,None,3,0.52,Medium,427.9,28,0.0,1
TX00012,CUST1483,18249.08,Card,Success,None,2,0.6,Medium,442.8,23,0.0,1
TX00013,CUST0088,43209.34,Card,Success,None,3,0.49,Low,475.7,13,0.0,1
TX00014,CUST1397,5681.15,Wallet,Success,Timeout,0,0.99,Medium,111.8,16,0.0,1
TX00015,CUST1124,46267.35,Wallet,Overdue,Authentication_Failed,3,0.77,High,380.7,18,46267.35,0
TX00016,CUST0872,31655.85,Card,Subscription_Failed,None,0,0.56,Medium,115.5,30,31655.85,0
TX00017,CUST0131,2908.66,UPI,Success,Authentication_Failed,1,0.21,Low,568.5,3,0.0,1
TX00018,CUST1333,32283.98,Wallet,Success,Authentication_Failed,3,0.62,Medium,408.3,17,0.0,1
TX00019,CUST0770,48717.53,Card,Subscription_Failed,Timeout,1,0.99,Medium,66.2,11,48717.53,1
TX00020,CUST0344,3676.07,NetBanking,Failed,Authentication_Failed,2,0.62,High,120.3,1,3676.07,0
TX00021,CUST1438,27823.45,NetBanking,Success,Insufficient_Funds,3,0.35,Low,401.4,5,0.0,1
TX00022,CUST0806,37440.16,Wallet,Abandoned,Network_Error,0,0.22,Low,291.2,5,37440.16,0
TX00023,CUST0386,40550.88,UPI,Subscription_Failed,Timeout,3,0.48,Medium,444.4,2,40550.88,0
TX00024,CUST1216,20808.61,NetBanking,Subscription_Failed,Network_Error,2,0.93,Medium,175.7,7,20808.61,0
TX00025,CUST0956,10367.49,NetBanking,Success,Insufficient_Funds,2,1.0,Medium,398.2,11,0.0,1
TX00026,CUST0277,2308.65,NetBanking,Success,Bank_Decline,0,0.96,Low,114.4,2,0.0,1
TX00027,CUST1185,29070.36,UPI,Subscription_Failed,Bank_Decline,3,0.78,Medium,330.8,1,29070.36,0
TX00028,CUST0460,22754.97,UPI,Success,None,1,0.65,Low,575.1,20,0.0,1
TX00029,CUST1338,47447.47,Wallet,Failed,Bank_Decline,2,0.67,Low,380.7,28,47447.47,0
TX00030,CUST0022,3218.12,Wallet,Success,Timeout,2,0.63,Medium,39.5,22,0.0,1
TX00031,CUST0253,34332.69,NetBanking,Success,Bank_Decline,0,0.77,Low,593.4,0,0.0,1
TX00032,CUST0748,1443.32,UPI,Success,Timeout,3,0.54,Low,102.6,17,0.0,1
TX00033,CUST0857,8737.42,Card,Success,Timeout,1,0.74,Medium,433.7,17,0.0,1
TX00034,CUST0475,22788.23,NetBanking,Subscription_Failed,Network_Error,3,0.3,Medium,324.2,7,22788.23,0
TX00035,CUST1083,22852.65,Wallet,Success,Bank_Decline,3,0.41,Low,183.7,25,0.0,1
TX00036,CUST0511,34347.89,UPI,Subscription_Failed,Authentication_Failed,1,0.87,Medium,114.6,21,34347.89,0
TX00037,CUST0700,45528.61,Wallet,Subscription_Failed,Bank_Decline,0,0.92,Low,114.8,13,45528.61,0
TX00038,CUST0976,32023.8,Wallet,Success,Bank_Decline,2,0.63,Low,516.5,28,0.0,1
TX00039,CUST0190,47686.05,UPI,Failed,Bank_Decline,0,0.23,Low,525.0,12,47686.05,0
TX00040,CUST0958,44104.46,NetBanking,Success,None,0,0.94,Low,284.4,14,0.0,1
TX00041,CUST0687,29308.09,UPI,Abandoned,Authentication_Failed,3,0.76,High,71.1,14,29308.09,0
TX00042,CUST0958,41722.84,NetBanking,Failed,Authentication_Failed,1,0.53,Low,531.7,12,41722.84,0
TX00043,CUST0563,32200.36,Wallet,Success,Timeout,2,0.68,Medium,297.3,3,0.0,1
TX00044,CUST1268,4112.18,UPI,Success,Authentication_Failed,3,0.54,Medium,268.9,3,0.0,1
TX00045,CUST0832,37080.12,Card,Failed,Timeout,2,0.57,High,250.3,4,37080.12,1
TX00046,CUST1155,4926.44,NetBanking,Subscription_Failed,Network_Error,3,0.91,Low,225.4,2,4926.44,0
TX00047,CUST0647,29785.32,Card,Success,Timeout,1,0.33,High,320.3,11,0.0,1
TX00048,CUST0021,35191.48,NetBanking,Failed,Bank_Decline,2,0.28,High,366.7,29,35191.48,0
TX00049,CUST0841,3513.07,UPI,Success,Insufficient_Funds,2,0.2,Low,285.2,19,0.0,1
TX00050,CUST0167,11693.57,Card,Abandoned,Insufficient_Funds,0,0.45,Low,539.0,11,11693.57,0
TX00051,CUST1298,45800.48,UPI,Success,None,3,0.32,Low,197.4,19,0.0,1
TX00052,CUST0388,30892.46,NetBanking,Failed,Bank_Decline,3,0.38,Medium,351.2,6,30892.46,0
TX00053,CUST0601,12465.04,NetBanking,Success,Timeout,3,0.21,Medium,187.0,6,0.0,1
TX00054,CUST0316,34595.85,NetBanking,Failed,Bank_Decline,0,0.38,Low,454.5,0,34595.85,0
TX00055,CUST0014,29919.47,NetBanking,Subscription_Failed,None,0,0.47,Medium,70.3,11,29919.47,1
TX00056,CUST0242,25178.47,Wallet,Abandoned,Authentication_Failed,2,0.23,Low,121.3,2,25178.47,0
TX00057,CUST0777,48814.11,NetBanking,Abandoned,Timeout,3,0.69,Medium,482.7,14,48814.11,0
TX00058,CUST1370,34236.0,Card,Success,Bank_Decline,3,0.66,Low,118.1,8,0.0,1
TX00059,CUST0565,18896.97,NetBanking,Subscription_Failed,Authentication_Failed,2,0.28,Medium,379.2,21,18896.97,0
TX00060,CUST0898,40043.66,UPI,Failed,None,2,0.68,Low,582.4,21,40043.66,0
TX00061,CUST1364,44252.25,Wallet,Subscription_Failed,Authentication_Failed,2,1.0,Low,318.5,19,44252.25,0
TX00062,CUST0092,6435.98,Card,Success,Timeout,1,0.96,Medium,120.6,25,0.0,1
TX00063,CUST1391,10187.54,Wallet,Success,None,1,0.2,Low,199.2,8,0.0,1
TX00064,CUST0956,10968.11,Wallet,Success,None,2,0.84,Medium,495.8,30,0.0,1
TX00065,CUST1479,34622.35,Wallet,Success,None,0,0.48,High,217.5,13,0.0,1
TX00066,CUST1452,30231.37,UPI,Success,Network_Error,0,0.25,Low,436.9,27,0.0,1
TX00067,CUST0509,31025.78,Wallet,Subscription_Failed,None,3,0.44,Medium,468.6,2,31025.78,0
TX00068,CUST0776,47050.51,Wallet,Failed,Network_Error,1,0.46,Low,305.7,7,47050.51,0
TX00069,CUST0035,38840.39,NetBanking,Overdue,Authentication_Failed,1,0.62,Low,472.1,28,38840.39,1
TX00070,CUST0206,6571.26,UPI,Success,Network_Error,2,0.73,Low,197.0,5,0.0,1
TX00071,CUST1105,17505.85,Card,Success,Authentication_Failed,2,0.8,High,314.5,11,0.0,1
TX00072,CUST1412,21882.6,Card,Subscription_Failed,Network_Error,2,0.4,Low,415.1,1,21882.6,0
TX00073,CUST1026,19918.89,Card,Success,Authentication_Failed,2,0.46,High,109.2,2,0.0,1
TX00074,CUST1022,33531.57,UPI,Success,Authentication_Failed,2,0.45,High,171.4,13,0.0,1
TX00075,CUST1414,44616.28,Card,Subscription_Failed,None,0,0.49,Low,394.7,16,44616.28,0
TX00076,CUST0566,15441.36,UPI,Success,None,0,1.0,Medium,396.7,2,0.0,1
TX00077,CUST1130,27683.48,NetBanking,Success,Authentication_Failed,2,0.82,Medium,301.0,3,0.0,1
TX00078,CUST0703,39512.59,NetBanking,Subscription_Failed,None,0,0.98,Low,479.4,14,39512.59,1
TX00079,CUST0402,20927.66,UPI,Success,Authentication_Failed,2,0.75,Low,294.4,29,0.0,1
TX00080,CUST0730,8572.28,Card,Subscription_Failed,None,2,0.53,Low,530.0,21,8572.28,1
TX00081,CUST0162,23852.56,UPI,Success,Insufficient_Funds,1,0.51,Medium,444.2,25,0.0,1
TX00082,CUST0202,2950.08,UPI,Failed,Network_Error,0,0.59,Medium,195.7,29,2950.08,1
TX00083,CUST0996,47130.7,Wallet,Success,Authentication_Failed,0,0.53,Low,243.2,6,0.0,1
TX00084,CUST0270,3926.1,UPI,Failed,Bank_Decline,1,0.86,Low,403.9,18,3926.1,1
TX00085,CUST0816,22035.14,Wallet,Success,None,0,0.57,High,537.7,13,0.0,1
TX00086,CUST1295,26588.09,NetBanking,Subscription_Failed,None,1,0.44,Low,115.4,15,26588.09,0
TX00087,CUST0456,49268.13,Wallet,Success,Timeout,3,0.82,Medium,313.7,26,0.0,1
